1012K	a2ps-4.14-macos10.11.pkg
1020K	a2ps-4.14-macos10.15.pkg
 36K	abnfgen-0.17-macos10.11.pkg
 32K	abnfgen-0.17-macos10.15.pkg
 48K	ack-2.20-macos10.11.pkg
 48K	ack-2.20-macos10.15.pkg
132K	aewan-1.0.01-macos10.11.pkg
128K	aewan-1.0.01-macos10.15.pkg
2.9M	argtable-2.13-macos10.11.pkg
2.9M	argtable-2.13-macos10.15.pkg
1.2M	aria2-1.31.0-macos10.11.pkg
1.2M	aria2-1.31.0-macos10.15.pkg
228K	asciidoc-8.6.9-macos10.11.pkg
232K	asciidoc-8.6.9-macos10.15.pkg
708K	aspell-0.60.6.1-macos10.11.pkg
660K	aspell-0.60.6.1-macos10.15.pkg
1.3M	autoconf-2.69-macos10.11.pkg
1.3M	autoconf-2.69-macos10.15.pkg
1.0M	automake-1.16.1-macos10.11.pkg
1.0M	automake-1.16.1-macos10.15.pkg
 40K	autossh-1.4e-macos10.11.pkg
 36K	autossh-1.4e-macos10.15.pkg
2.6M	bash-4.4-macos10.11.pkg
2.6M	bash-4.4-macos10.15.pkg
260K	bash-completion-2.7-macos10.11.pkg
264K	bash-completion-2.7-macos10.15.pkg
156K	bc-1.07.1-macos10.11.pkg
148K	bc-1.07.1-macos10.15.pkg
1016K	bison-3.3.2-macos10.11.pkg
1020K	bison-3.3.2-macos10.15.pkg
156K	bmake-20170812-macos10.11.pkg
152K	bmake-20170812-macos10.15.pkg
 21M	boost-1.72.0-macos10.11.pkg
 21M	boost-1.72.0-macos10.15.pkg
376K	bootstrap-3.3.7-macos10.11.pkg
368K	bootstrap-3.3.7-macos10.15.pkg
144K	bvi-1.4.0-macos10.11.pkg
140K	bvi-1.4.0-macos10.15.pkg
6.7M	bzr-2.7.0-macos10.11.pkg
7.0M	bzr-2.7.0-macos10.15.pkg
 96K	cabextract-1.6-macos10.11.pkg
 92K	cabextract-1.6-macos10.15.pkg
104K	ccache-3.7.11-macos10.11.pkg
100K	ccache-3.7.11-macos10.15.pkg
108K	ccache-3.7.7-macos10.11.pkg
104K	ccache-3.7.7-macos10.15.pkg
132K	cflow-1.4-macos10.11.pkg
128K	cflow-1.4-macos10.15.pkg
148K	check-0.11.0-macos10.11.pkg
148K	check-0.11.0-macos10.15.pkg
 17M	cmake-3.18.4-macos10.11.pkg
 18M	cmake-3.18.4-macos10.15.pkg
 72K	cntlm-0.92.3-macos10.11.pkg
 72K	cntlm-0.92.3-macos10.15.pkg
4.0M	coreutils-8.30-macos10.11.pkg
3.9M	coreutils-8.30-macos10.15.pkg
196K	cscope-15.8b-macos10.11.pkg
192K	cscope-15.8b-macos10.15.pkg
184K	ctags-5.8-macos10.11.pkg
684K	cvs-1.11.23-macos10.11.pkg
676K	cvs-1.11.23-macos10.15.pkg
2.6M	cython-0.29.15-macos10.11.pkg
2.5M	cython-0.29.15-macos10.15.pkg
 92K	dash-0.5.9.1-macos10.11.pkg
 92K	dash-0.5.9.1-macos10.15.pkg
848K	datamash-1.4-macos10.11.pkg
848K	datamash-1.4-macos10.15.pkg
 28M	db-6.1.26-macos10.11.pkg
276K	dejagnu-1.6-macos10.11.pkg
276K	dejagnu-1.6-macos10.15.pkg
344K	diffutils-3.7-macos10.11.pkg
336K	diffutils-3.7-macos10.15.pkg
380K	dropbear-2019.78-macos10.11.pkg
388K	dropbear-2019.78-macos10.15.pkg
 40K	dtach-0.9-macos10.11.pkg
 36K	dtach-0.9-macos10.15.pkg
 88K	ed-1.16-macos10.11.pkg
 84K	ed-1.16-macos10.15.pkg
 47M	emacs-26.3-macos10.11.pkg
 46M	emacs-26.3-macos10.15.pkg
 47M	emacs-27.1-macos10.11.pkg
 47M	emacs-27.1-macos10.15.pkg
 75M	erlang-22.3-macos10.11.pkg
 75M	erlang-22.3-macos10.15.pkg
168K	expat-2.2.9-macos10.11.pkg
168K	expat-2.2.9-macos10.15.pkg
 27M	ffmpeg-4.1.3-macos10.11.pkg
